,icao24,Çağrı İşareti,Kaynak Ülke,Zaman Pozisyonu,Son Temas,Long,Lat,Baro İrtifası,Yerde,Hız,Gerçek İz,Dikey Hız,Sensörler,Geo Yükseklik,Squawk,Spi,Konum Kaynağı
4007,c043cb,WJA1799 ,Canada,1714025412,1714025412,-121.3369,44.8784,10972.8,false,225.35,345.46,0.33,Veri Yok,11026.14,Veri Yok,false,0
4008,4cac36,NOS28XZ ,Ireland,1714025304,1714025316,20.3627,38.64,11277.6,false,243.54,121.88,0.0,Veri Yok,11277.6,0230,false,0
4009,151ed4,SBI3034 ,Russian Federation,1714025411,1714025411,61.8279,57.6398,10965.18,false,220.65,260.47,0.33,Veri Yok,10881.36,Veri Yok,false,0
4010,71c529,KAL789  ,Republic of Korea,1714025412,1714025412,129.5999,34.0067,3817.62,false,191.22,140.79,-4.55,Veri Yok,3970.02,Veri Yok,false,0
4011,7c2ad8,JTE956  ,Australia,1714025409,1714025411,115.9586,-31.9399,-53.34,true,0,149.06,Veri Yok,Veri Yok,Veri Yok,4302,false,0
4012,a2ca5d,UAL987  ,United States,1714025411,1714025412,-4.0071,49.6642,11879.58,false,264.36,105.58,-0.33,Veri Yok,11757.66,6315,false,0
4013,7c44da,        ,Australia,1714025411,1714025411,115.9693,-31.942,Veri Yok,true,5.14,104.06,Veri Yok,Veri Yok,Veri Yok,4047,false,0
4014,7c7a47,VOZ1594 ,Australia,1714025411,1714025411,144.8411,-37.6747,Veri Yok,true,5.92,165.94,Veri Yok,Veri Yok,Veri Yok,1103,false,0
4015,7c7a48,VOZ226  ,Australia,1714025412,1714025412,144.167,-36.8577,5737.86,false,172.72,111.67,-8.78,Veri Yok,5913.12,3266,false,0
4016,7c7a49,VOZ231  ,Australia,1714025411,1714025412,139.1187,-35.17,3276.6,false,176.78,339.56,-9.1,Veri Yok,3421.38,4203,false,0
4017,71c523,JJA1604 ,Republic of Korea,1714025324,1714025340,127.1885,37.3239,3322.32,false,187.38,66.88,7.8,Veri Yok,3406.14,Veri Yok,false,0
4018,7c7a45,VOZ1118 ,Australia,1714025411,1714025411,151.4481,-25.6861,11277.6,false,240.14,146,0.0,Veri Yok,11948.16,6037,false,0
4019,4cac7b,SAS45M  ,Ireland,1714025412,1714025412,9.9753,56.2674,10515.6,false,237.66,215.31,3.58,Veri Yok,10142.22,0737,false,0
4020,7c3f03,FD229   ,Australia,1714025120,1714025120,145.9919,-36.6608,2606.04,false,147.03,46.7,-8.13,Veri Yok,2705.1,4021,false,0
4021,5113e8,D14     ,Estonia,1714025147,1714025148,24.8405,59.4154,Veri Yok,true,11.32,90,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
4022,04c15a,KQA002  ,Kenya,1714025407,1714025411,-13.6168,37.6927,11582.4,false,222.1,286,0.0,Veri Yok,11803.38,4226,false,0
4023,4cac88,RYR2AB  ,Ireland,1714025411,1714025411,-4.5698,43.3742,12192.0,false,228.06,23.67,0.0,Veri Yok,12176.76,2222,false,0
4024,4cac89,RYR48UL ,Ireland,1714025411,1714025412,2.6841,43.8992,11277.6,false,242.99,173.19,0.0,Veri Yok,11193.78,2211,false,0
4025,ac4597,CMD3    ,United States,1714025275,1714025275,-122.1915,38.9315,883.92,false,65.85,269.55,0.65,Veri Yok,883.92,Veri Yok,false,0
4026,4cac84,RYR9WN  ,Ireland,1714025412,1714025412,-1.2838,49.7895,11582.4,false,226.23,14.89,0.0,Veri Yok,11414.76,5335,false,0
4027,a173a8,DAL1184 ,United States,1714025411,1714025411,-118.4023,33.9376,22.86,false,83.46,262.92,7.8,Veri Yok,15.24,Veri Yok,false,0
4028,5113e0,03      ,Estonia,1714025229,1714025229,24.8669,59.4143,Veri Yok,true,1.29,213.75,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
4029,acdbec,ASA339  ,United States,1714025411,1714025411,-115.9253,35.3875,10675.62,false,259.79,48.29,-0.33,Veri Yok,10767.06,4461,false,0
4030,4cac82,ITY1746 ,Ireland,1714025411,1714025412,12.0399,42.4197,11277.6,false,241.96,155.51,0.0,Veri Yok,11163.3,6317,false,0
4031,4cac8d,NOS65MX ,Ireland,1714025411,1714025411,20.5611,36.3074,10668.0,false,238.46,124.72,0.0,Veri Yok,10706.1,Veri Yok,false,0
4032,4cac8e,SAS51N  ,Ireland,1714025411,1714025412,0.8997,52.2984,9174.48,false,223.68,52.95,5.53,Veri Yok,8953.5,4633,false,0
4033,8682f4,ANA255  ,Japan,1714025410,1714025410,130.5066,33.9109,2842.26,false,123.02,240.43,-7.8,Veri Yok,3040.38,4710,false,0
4034,5113cb,SAATJA4 ,Estonia,1714025377,1714025377,24.8084,59.4157,Veri Yok,true,1.8,137.81,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
4035,aa5428,AAL334  ,United States,1714025411,1714025412,9.203,42.7117,11887.2,false,264.36,115.97,0.0,Veri Yok,11780.52,5263,false,0
4036,4d20e9,VJT480  ,Malta,1714025401,1714025401,55.3899,25.2356,Veri Yok,true,4.37,174.38,Veri Yok,Veri Yok,Veri Yok,2164,false,0
4037,0d0e7d,VOI141  ,Mexico,1714025411,1714025412,-99.2228,19.0273,5166.36,false,164.11,52.77,-6.18,Veri Yok,5509.26,Veri Yok,false,0
4038,5113be,IMUR27  ,Estonia,1714025411,1714025411,24.8104,59.4164,Veri Yok,true,5.4,87.19,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
4039,4b9e02,TKJ2FD  ,Turkey,1714025411,1714025412,26.8021,42.3401,10027.92,false,237.62,311.49,5.2,Veri Yok,10142.22,7220,false,0
4040,0d0e93,VOI7773 ,Mexico,1714025412,1714025412,-98.2364,25.711,11590.02,false,231.01,198.43,0.0,Veri Yok,12199.62,1373,false,0
4041,7c8174,ZUU     ,Australia,1714025411,1714025411,150.9209,-33.6501,68.58,false,31.14,210.8,1.3,Veri Yok,144.78,Veri Yok,false,0
4042,5113fd,TXLU03  ,Estonia,1714025404,1714025411,24.8734,59.4144,Veri Yok,true,5.92,202.5,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
4043,86d2ee,ANA67   ,Japan,1714025411,1714025411,141.3773,41.9335,6286.5,false,237.7,29.28,-5.85,Veri Yok,6263.64,Veri Yok,false,0
4044,71be09,KAL8313 ,Republic of Korea,1714025411,1714025411,120.9732,24.7518,12192.0,false,206.18,229.55,0.65,Veri Yok,12847.32,Veri Yok,false,0
4045,7c7a6e,YGW     ,Australia,1714025202,1714025203,115.8832,-32.0873,Veri Yok,true,0.06,101.25,Veri Yok,Veri Yok,Veri Yok,3000,false,0
4046,4cac79,SAS23G  ,Ireland,1714025411,1714025412,13.4801,50.123,11574.78,false,229.87,189.27,0.33,Veri Yok,11315.7,6007,false,0
4047,0d0e9c,VOI117  ,Mexico,1714025408,1714025410,-99.2604,19.5553,3962.4,false,136.08,136.23,-6.83,Veri Yok,4221.48,Veri Yok,false,0
4048,86228c,ANA656Y ,Japan,1714025411,1714025411,139.902,35.785,1912.62,false,117.78,288.59,0.33,Veri Yok,1927.86,7311,false,0
4049,407dbf,DHK512  ,United Kingdom,1714025411,1714025411,23.1168,41.0173,10668.0,false,230.43,140.98,0.0,Veri Yok,10668.0,4365,false,0
4050,00af30,SFR392  ,South Africa,1714025073,1714025346,28.9774,-27.034,9083.04,false,234.63,135.27,0.0,Veri Yok,9662.16,Veri Yok,false,0
4051,7c7a85,YHJ     ,Australia,1714025040,1714025274,115.8788,-32.0997,-45.72,false,4.12,236.25,Veri Yok,Veri Yok,7.62,1200,false,0
4052,800d13,,India,1714025411,1714025411,83.9877,22.7907,11277.6,false,274.06,48.5,0.0,Veri Yok,Veri Yok,Veri Yok,false,0
4053,407031,EXS37K  ,United Kingdom,1714025412,1714025412,-3.2389,54.5799,10797.54,false,238.19,154.82,4.55,Veri Yok,10584.18,2020,false,0
4054,7c7c33,YTH     ,Australia,1714025359,1714025360,138.6406,-34.7925,-99.06,false,30.38,208.3,-1.3,Veri Yok,22.86,Veri Yok,false,0
4055,86e86e,JAL73   ,Japan,1714025411,1714025412,141.4711,35.9457,6492.24,false,167.2,270.53,-5.2,Veri Yok,6697.98,Veri Yok,false,0
4056,0c20a8,CMP194  ,Panama,1714025411,1714025411,-99.1851,19.3049,3162.3,false,108.4,335.02,-6.18,Veri Yok,3375.66,Veri Yok,false,0
4057,a8fc73,UAL2344 ,United States,1714025317,1714025317,-122.3823,37.6218,Veri Yok,true,7.46,118.12,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
4058,7c46e0,OAA     ,Australia,1714025411,1714025411,144.7807,-37.8198,1592.58,false,138.31,98.34,-4.55,Veri Yok,1684.02,3636,false,0
4059,801405,IGO524  ,India,1714025411,1714025412,87.3173,20.9353,10668.0,false,266.3,45.78,0.0,Veri Yok,11292.84,2713,false,0
4060,801410,IGO5313 ,India,1714025411,1714025411,78.4502,14.1369,10668.0,false,243.28,123.35,0.0,Veri Yok,11353.8,Veri Yok,false,0
4061,45cf24,SRR2121 ,Denmark,1714025412,1714025412,23.6769,47.0988,10668.0,false,215.82,136.84,0.0,Veri Yok,10515.6,7673,false,0
4062,04c2d8,FJE100  ,Kenya,1714025341,1714025343,54.2555,24.7614,6758.94,false,190.55,295.25,10.08,Veri Yok,6972.3,Veri Yok,false,0
4063,7c3fdc,MWE     ,Australia,1714025411,1714025412,115.7484,-32.4795,1219.2,false,80.06,185.16,-2.6,Veri Yok,1341.12,1200,false,0
4064,a17bc3,N195LL  ,United States,1714025398,1714025398,-85.8054,39.8338,662.94,false,55.56,90,0.0,Veri Yok,708.66,Veri Yok,false,0
4065,40700a,EXS26C  ,United Kingdom,1714025411,1714025411,1.0335,47.1313,10660.38,false,235.97,170.97,0.0,Veri Yok,10492.74,2046,false,0
4066,a2e098,ASA95   ,United States,1714025412,1714025412,-125.615,50.1511,10972.8,false,221.45,326.75,0.0,Veri Yok,10896.6,Veri Yok,false,0
4067,a11b00,AAL2756 ,United States,1714025411,1714025411,-116.6625,33.4959,7345.68,false,248.01,91.07,3.25,Veri Yok,7429.5,1355,false,0
4068,a338ac,JBU1336 ,United States,1714025410,1714025410,-71.0141,42.3655,Veri Yok,true,0.06,329.06,Veri Yok,Veri Yok,Veri Yok,5756,false,0
